date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,conservative_portfolio_value,conservative_portfolio_return
2021-07-23,652575.032263732,465758.4440035818,26984.98763216746,0.0,67461.58398930433,1212780.0478887856,0.00470988529575167
2021-07-26,652458.4552845221,466901.79148778634,27088.40983818173,0.0,67480.07280329375,1213928.7294137839,0.0009471474460664986
2021-07-27,652983.8117690705,464773.8437220306,27028.740915545186,0.0,66870.37975905508,1211656.7761657014,-0.001871570540372347
2021-07-28,653509.2632633818,464583.2133969918,27167.966765632234,0.0,66971.99646265063,1212232.4398886564,0.00047510461236122126
2021-07-29,653275.6342561471,466510.07023256546,27378.78517928081,0.0,67092.06609356248,1214256.555761556,0.0016697423747260576
2021-07-30,653450.8322591323,464244.4969972252,27251.497694702768,0.0,66602.49292157801,1211549.3198726384,-0.0022295419168806285
2021-08-02,656641.8909657403,463270.4910026721,27378.78517928081,0.0,66537.83949129205,1213829.0066389856,0.0018816293558621133
2021-08-03,655790.9702268811,467039.3835369071,27577.67340774484,0.0,67018.18261095106,1217426.2097824842,0.0029635172036786006
2021-08-04,655732.6342323946,464742.0942814999,27553.799948856613,0.0,67027.42701794575,1215055.955480697,-0.0019469387817850903
2021-08-05,654971.986069759,467685.16715730063,27696.9981644988,0.0,67526.24459692492,1217880.3959884832,0.0023245353393364088
2021-08-06,652748.7576153907,468458.048801208,27545.845401356986,0.0,67230.65324780223,1215983.3050657578,-0.0015576988750078957
2021-08-09,650818.0642213215,468076.9552534489,27525.96066867281,0.0,67276.83939610266,1213697.8195395458,-0.0018795369284189123
2021-08-10,650232.8990909602,468659.1731518537,27601.537050243718,0.0,66935.04036667568,1213428.6496597333,-0.00022177668566181197
2021-08-11,650701.0596981781,469823.7426305182,27792.469095143228,0.0,66805.71197409988,1215122.9833979395,0.0013963192138914948
2021-08-12,650759.5382073091,471231.74676689354,27784.5145476436,0.0,67193.69715182728,1216969.4966736734,0.0015196101966323816
2021-08-13,652339.2180319482,472089.3492863222,27995.33132522729,0.0,67369.2116927035,1219793.1103362013,0.002320200851579024
2021-08-16,653450.7847542509,473200.98075045977,27844.178562085475,0.0,67526.24459692492,1222022.1886637209,0.0018274232807440338
2021-08-17,653041.2451708083,470099.02699015086,27621.428327187456,0.0,66925.81031435021,1217687.510802497,-0.003547135151419689
2021-08-18,652514.8435788669,464953.8129191438,27545.845401356986,0.0,66214.52927585448,1211229.0311752222,-0.005303889191586086
2021-08-19,654035.8548748492,465673.6897075968,27223.645325999838,0.0,66473.17170633684,1213406.3616147828,0.0017976207500971508
2021-08-20,653977.3763657182,469379.1502016979,27378.78517928081,0.0,67184.4599221672,1217919.7716688642,0.00371961957416711
2021-08-23,654211.4329168864,473508.0145506231,27617.449417372754,0.0,68015.824946244,1223352.7218311261,0.004460844046252355
2021-08-24,653392.4012548829,474259.607359143,27637.340694316492,0.0,68145.16051615443,1223434.509824497,6.68556107419338e-05
2021-08-25,652105.2089856614,475254.83534815605,27673.131249870137,0.0,68311.43782737057,1223344.6134110582,-7.347872952478962e-05
2021-08-26,651695.6218973374,472449.2876805487,27510.048301543775,0.0,67941.93428629795,1219596.892165728,-0.0030635041052582412
2021-08-27,652690.1840964968,476673.46719199326,27820.311647456812,0.0,68560.85738286209,1225744.820318809,0.0050409509835367405
2021-08-30,654094.3808888616,478769.66551721835,27820.311647456812,0.0,69253.65678470302,1229938.0148382399,0.0034209359484302926
2021-08-31,653333.827735989,478060.34959529975,27744.73853801569,0.0,69124.34274679646,1228263.258616101,-0.0013616590445487686
2021-09-01,654828.2971045775,478314.44538093614,27939.639676340557,0.0,69262.91554636697,1230345.2977082212,0.0016951081761300557
2021-09-02,654506.5332407868,479786.0152393002,28082.841164112524,0.0,69281.38282835252,1231656.772472552,0.0010659404045139098
