date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,growth_portfolio_value,growth_portfolio_return
2021-01-11,173955.7081073867,462544.27187266934,181541.2123927989,103582.3365487249,342768.9385412911,1264392.467462871,-0.009333916604065018
2021-01-12,174064.60362266196,462641.91999917204,182393.2627175005,104626.30678474558,341843.51454697695,1265569.6076710569,0.0009309927403695628
2021-01-13,174733.42334125962,463887.7874510255,181835.029196396,105050.44035016485,343335.251775067,1268841.9321139131,0.002585653466250726
2021-01-14,174671.2138138163,462263.32004923804,183127.76177978993,106029.16079387137,340338.0399004181,1266429.4963371337,-0.0019012894480562315
2021-01-15,174842.33167531245,458892.1698440903,179954.68754678124,104919.93415528505,338362.9737814658,1256972.0970029347,-0.00746776615796807
2021-01-19,175137.85577291762,462495.44780941796,181570.57566742858,106844.76667216969,342147.3741855856,1268196.0201075193,0.008929333539977824
2021-01-20,175215.58883997228,468895.6304792042,182716.41825475395,108900.10538393415,349619.64702047757,1285347.389978342,0.013524226222826785
2021-01-21,175137.85577291762,469323.1709249728,183392.16622681063,108867.47057239985,351691.4133688085,1288412.0768659094,0.002384325756182637
2021-01-22,175168.94130847295,467661.98844859406,182070.05809830033,107758.250544065,351511.85798853944,1284171.096387972,-0.0032916335961812315
2021-01-25,175480.02740202213,469506.4358110403,180894.85223634526,108475.9916492693,354274.1772329742,1288631.4843316511,0.003473359551718014
2021-01-26,175511.10011879992,468773.647942798,181629.36356912137,107954.00653125896,353873.6604289947,1287741.778590973,-0.0006904268221721299
2021-01-27,175573.29682746567,457316.52650555415,177310.4467487873,105017.79892837908,345158.388074715,1260376.4570849012,-0.021250628007126182
2021-01-28,175433.35423296771,461249.4639249812,178838.22050457224,105768.16162461472,346539.51539892657,1267828.7156860624,0.005912724376332168
2021-01-29,175122.255320641,452015.50623270083,175400.71728356948,103223.45938587128,339951.325110919,1245713.2633337018,-0.01744356479604836
2021-02-01,175945.08701122284,459539.5738179344,177692.39018773354,106029.16079387137,347368.30375987367,1266574.515570636,0.01674643182421165
2021-02-02,175324.90737490664,466037.5598576676,179572.70729637495,107529.88618634266,352602.94922062673,1281068.0099359187,0.011443064886516474
2021-02-03,174981.97943792678,466404.0508189415,179749.0096490199,108051.85147359857,351649.94272935553,1280836.8341088423,-0.0001804555459066215
2021-02-04,175106.66768714192,471705.0322809337,179895.9364565485,108312.87708386111,355558.71198782657,1290579.225496312,0.007606270469452836
2021-02-05,175075.53087647638,473561.62744290114,181071.13004801687,109063.22655959381,357409.4953804432,1296181.0103074315,0.004340519900252859
2021-02-08,175013.1675237025,476981.56290043914,181570.57566742858,109617.83326863548,359108.34895375546,1302291.488313961,0.004714216577729635
